

wavelength(nm), Y
1549.44, 0.783419
1549.43, 0.784469
1549.42, 0.785174
1549.41, 0.785534
1549.4, 0.785549
1549.4, 0.785219
1549.39, 0.784544
1549.38, 0.783525
1549.37, 0.782161
1549.36, 0.780454
1549.36, 0.778404
1549.35, 0.776012
1549.34, 0.773279
1549.33, 0.770207
1549.32, 0.766796


